
5段階評価,1		過去（2年より前）に観た
,2		最近（2年以内）観た
,3		観たことはないが、今後観てみたい
,4		観たことはなく、今後観てみたいか観てみたくないか分からない
,5		観たことはないし、今後も観てみたいとは思わない


,,映画の点数,５段階評価
4位,ローマの休日,0.157746,5
5位,アポロ13,0.152582,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

91人目への推薦結果
1位,オペラ座の怪人,0.438462,3
2位,禁じられた遊び,0.331410,5
3位,日本沈没,0.235256,4
4位,リング0 バースデイ,0.176282,4
5位,フランケンシュタイン,0.167308,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

92人目への推薦結果
1位,ラストサムライ,1.000000,4
2位,ターミネーター2,0.318182,4
3位,水戸黄門 天下の副将軍,0.284848,4
4位,マトリックス・レボリューションズ,0.266667,4
5位,天空の城ラピュタ,0.258333,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：100％

93人目への推薦結果
1位,オペラ座の怪人,0.643820,3
2位,リング0 バースデイ,0.369288,4
3位,禁じられた遊び,0.140075,4
4位,ピアノ・レッスン,0.135206,5
5位,パラサイト・イヴ,0.112360,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

94人目への推薦結果
1位,バトル・ロワイアル,0.564583,4
2位,オペラ座の怪人,0.554167,3
3位,禁じられた遊び,0.293750,4
4位,ターミネーター2,0.250000,4
5位,水戸黄門 天下の副将軍,0.231250,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

95人目への推薦結果
1位,禁じられた遊び,0.456306,5
2位,スター・ウォーズ エピソード1/ファントム・メナス,0.237387,5
3位,天空の城ラピュタ,0.237387,5
4位,プライベート・ライアン,0.184234,5
5位,マトリックス,0.124324,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

96人目への推薦結果
1位,ラストサムライ,1.222222,3
2位,水戸黄門 天下の副将軍,0.500926,3
3位,マトリックス・レボリューションズ,0.325926,4
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.315741,4
5位,スター・ウォーズ エピソード3/シスの復讐,0.315741,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

97人目への推薦結果
1位,ラストサムライ,1.187719,5
2位,バトル・ロワイアル,0.476023,5
3位,マトリックス・レボリューションズ,0.280702,4
4位,スター・ウォーズ エピソード3/シスの復讐,0.271930,5
5位,天空の城ラピュタ,0.271930,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

98人目への推薦結果
1位,天空の城ラピュタ,0.267451,5
2位,日本沈没,0.196078,3
3位,アポロ13,0.166667,5
4位,プライベート・ライアン,0.146667,5
5位,フランケンシュタイン,0.136471,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

99人目への推薦結果
1位,オペラ座の怪人,0.472889,3
2位,禁じられた遊び,0.469778,5
3位,ローマの休日,0.199111,4
4位,鉄道員,0.171556,4
5位,ピアノ・レッスン,0.171556,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

100人目への推薦結果
1位,禁じられた遊び,0.409690,4
2位,マトリックス・レボリューションズ,0.223256,4
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.216279,4
4位,プライベート・ライアン,0.165116,4
5位,12モンキーズ,0.087209,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：100％

101人目への推薦結果
1位,禁じられた遊び,0.451709,4
2位,マトリックス・レボリューションズ,0.232479,5
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.225214,5
4位,天空の城ラピュタ,0.225214,4
5位,プライベート・ライアン,0.174786,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：60％

102人目への推薦結果
1位,水戸黄門 天下の副将軍,0.551984,5
2位,禁じられた遊び,0.298413,3
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.233730,5
4位,天空の城ラピュタ,0.233730,5
5位,リング0 バースデイ,0.158730,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

103人目への推薦結果
1位,オペラ座の怪人,0.529279,3
2位,天空の城ラピュタ,0.237387,3
3位,日本沈没,0.201351,5
4位,アポロ13,0.168919,5
5位,走れメロス,0.133784,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

104人目への推薦結果
1位,リング0 バースデイ,0.381893,3
2位,スター・ウォーズ,0.280658,4
3位,天空の城ラピュタ,0.280658,3
4位,走れメロス,0.159259,4
5位,プライベート・ライアン,0.153909,3
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：100％

105人目への推薦結果
1位,禁じられた遊び,0.301282,5
2位,スター・ウォーズ エピソード3/シスの復讐,0.258333,3
3位,天空の城ラピュタ,0.258333,5
4位,日本沈没,0.211538,5
5位,プライベート・ライアン,0.192949,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

106人目への推薦結果
1位,ラストサムライ,0.740741,5
2位,水戸黄門 天下の副将軍,0.643210,5
3位,禁じられた遊び,0.522222,3
4位,アポロ13,0.256790,5
5位,メカゴジラの逆襲,0.211111,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

107人目への推薦結果
1位,禁じられた遊び,0.481124,3
2位,メカゴジラの逆襲,0.137349,3
3位,風の谷のナウシカ,0.133735,4
4位,A.I.,0.115663,4
5位,12モンキーズ,0.108434,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

108人目への推薦結果
1位,アナザヘヴン,1.030556,5
2位,リング0 バースデイ,0.645833,5
3位,禁じられた遊び,0.609722,5
4位,オペラ座の怪人,0.422222,5
5位,バトル・ロワイアル,0.411111,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

109人目への推薦結果
1位,ラストサムライ,1.200000,5
2位,マトリックス・レボリューションズ,0.320000,5
3位,水戸黄門 天下の副将軍,0.313333,5
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.310000,5
5位,スター・ウォーズ エピソード3/シスの復讐,0.310000,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

110人目への推薦結果
1位,オペラ座の怪人,0.581609,3
2位,水戸黄門 天下の副将軍,0.324138,5
3位,天空の城ラピュタ,0.285057,5
4位,ウォーターボーイズ,0.202299,5
5位,アポロ13,0.172414,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

111人目への推薦結果
1位,オペラ座の怪人,0.495781,3
2位,天空の城ラピュタ,0.222363,3
3位,禁じられた遊び,0.139241,4
4位,走れメロス,0.125316,3
5位,A.I.,0.113924,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

112人目への推薦結果
1位,リング0 バースデイ,0.364251,3
2位,マトリックス・レボリューションズ,0.216425,3
3位,天空の城ラピュタ,0.209662,4
4位,アポロ13,0.205314,5
5位,禁じられた遊び,0.138164,3
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：80％

113人目への推薦結果
1位,ラストサムライ,0.636364,4
2位,禁じられた遊び,0.391667,4
3位,アポロ13,0.270455,5
4位,マトリックス・レボリューションズ,0.169697,4
5位,天空の城ラピュタ,0.164394,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

114人目への推薦結果
1位,ラストサムライ,0.962963,3
2位,水戸黄門 天下の副将軍,0.593210,4
3位,禁じられた遊び,0.348148,4
4位,マトリックス・レボリューションズ,0.256790,3
5位,天空の城ラピュタ,0.248765,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

115人目への推薦結果
1位,ラストサムライ,1.034483,4
2位,水戸黄門 天下の副将軍,0.297126,5
3位,マトリックス・レボリューションズ,0.275862,3
4位,クレヨンしんちゃん ヘンダーランドの大冒険,0.164368,5
5位,アポロ13,0.158046,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：60％

116人目への推薦結果
1位,オペラ座の怪人,0.719355,3
2位,マトリックス・レボリューションズ,0.309677,5
3位,フランケンシュタイン,0.179032,4
4位,プライベート・ライアン,0.164516,5
5位,鉄道員,0.153226,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

117人目への推薦結果
1位,天空の城ラピュタ,0.225670,4
2位,禁じられた遊び,0.134866,4
3位,プライベート・ライアン,0.123755,4
4位,A.I.,0.110345,4
5位,パラサイト・イヴ,0.104215,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：80％

118人目への推薦結果
1位,水戸黄門 天下の副将軍,0.400000,5
2位,マトリックス・レボリューションズ,0.226950,5
3位,スター・ウォーズ エピソード3/シスの復讐,0.219858,5
4位,天空の城ラピュタ,0.219858,5
5位,アポロ13,0.212766,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

119人目への推薦結果
1位,ラストサムライ,1.290323,4
2位,リング0 バースデイ,0.436559,5
3位,マトリックス・レボリューションズ,0.344086,4
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.333333,3
5位,スター・ウォーズ エピソード3/シスの復讐,0.333333,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

120人目への推薦結果
1位,天空の城ラピュタ,0.601961,3
2位,スター・ウォーズ エピソード1/ファントム・メナス,0.601961,3
3位,スター・ウォーズ エピソード3/シスの復讐,0.601961,3
4位,プライベート・ライアン,0.424510,3
5位,マトリックス・レボリューションズ,0.282353,3
,,,,,精度(3の割合)：100％
,,,,,精度(3，4の割合)：100％

121人目への推薦結果
1位,禁じられた遊び,0.368627,3
2位,マトリックス・レボリューションズ,0.188235,3
3位,スター・ウォーズ エピソード3/シスの復讐,0.182353,3
4位,天空の城ラピュタ,0.182353,3
5位,プライベート・ライアン,0.162745,4
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

122人目への推薦結果
1位,ラストサムライ,0.747222,5
2位,バトル・ロワイアル,0.585185,5
3位,オペラ座の怪人,0.548611,3
4位,マトリックス・レボリューションズ,0.162963,4
5位,天空の城ラピュタ,0.157870,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：60％

123人目への推薦結果
1位,ラストサムライ,0.909091,3
2位,水戸黄門 天下の副将軍,0.628788,5
3位,禁じられた遊び,0.391667,5
4位,アポロ13,0.270455,3
5位,マトリックス・レボリューションズ,0.242424,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

124人目への推薦結果
1位,アイ.ロボット,0.419048,5
2位,バトル・ロワイアル,0.419048,5
3位,リング0 バースデイ,0.414286,5
4位,オペラ座の怪人,0.361905,3
5位,水戸黄門 天下の副将軍,0.261111,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

125人目への推薦結果
1位,ラストサムライ,0.631579,4
2位,禁じられた遊び,0.384795,4
3位,マトリックス・レボリューションズ,0.168421,4
4位,2001年宇宙の旅,0.163158,5
5位,天空の城ラピュタ,0.163158,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：60％

126人目への推薦結果
1位,水戸黄門 天下の副将軍,0.570635,5
2位,禁じられた遊び,0.298413,5
3位,アポロ13,0.254762,5
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.246032,5
5位,天空の城ラピュタ,0.246032,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

127人目への推薦結果
1位,ラストサムライ,0.851064,3
2位,禁じられた遊び,0.358156,3
3位,マトリックス・レボリューションズ,0.226950,4
4位,スター・ウォーズ エピソード3/シスの復讐,0.219858,3
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.219858,4
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：100％

128人目への推薦結果
1位,ラストサムライ,0.857143,4
2位,禁じられた遊び,0.410317,5
3位,スウィングガールズ,0.238095,4
4位,マトリックス・レボリューションズ,0.228571,5
5位,天空の城ラピュタ,0.221429,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

129人目への推薦結果
1位,ラストサムライ,0.732394,4
2位,禁じられた遊び,0.454930,4
3位,水戸黄門 天下の副将軍,0.260563,4
4位,スター・ウォーズ エピソード3/シスの復讐,0.189202,4
5位,最終兵器彼女,0.176056,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：100％

130人目への推薦結果
1位,天空の城ラピュタ,0.222363,4
2位,ショーシャンクの空に,0.141772,4
3位,禁じられた遊び,0.129958,4
4位,マトリックス,0.116456,4
5位,A.I.,0.106329,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：100％

131人目への推薦結果
1位,プライベート・ライアン,0.192593,4
2位,A.I.,0.125926,5
3位,戦国自衛隊,0.106996,4
4位,パラサイト・イヴ,0.098765,5
5位,12モンキーズ,0.098765,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

132人目への推薦結果
1位,ラストサムライ,1.000000,4
2位,水戸黄門 天下の副将軍,0.320455,4
3位,マトリックス・レボリューションズ,0.266667,4
4位,天空の城ラピュタ,0.258333,4
5位,アポロ13,0.170455,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：100％

133人目への推薦結果
1位,オペラ座の怪人,0.499593,3
2位,禁じられた遊び,0.305691,4
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.189024,4
4位,天空の城ラピュタ,0.189024,5
5位,ウォーターボーイズ,0.166667,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

134人目への推薦結果
1位,ラストサムライ,1.058824,5
2位,禁じられた遊び,0.451961,5
3位,マトリックス・レボリューションズ,0.282353,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.273529,5
5位,天空の城ラピュタ,0.273529,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

135人目への推薦結果
1位,アイ.ロボット,0.581132,4
2位,オペラ座の怪人,0.573585,3
3位,禁じられた遊び,0.266038,4
4位,水戸黄門 天下の副将軍,0.209434,4
5位,走れメロス,0.113208,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

136人目への推薦結果
1位,オペラ座の怪人,0.584181,3
2位,天空の城ラピュタ,0.315254,3
3位,リング0 バースデイ,0.294915,5
4位,プライベート・ライアン,0.172881,3
5位,走れメロス,0.154237,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：80％

137人目への推薦結果
